\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}H$    &   $t\bar{t}Z$    &       Rare       &  Charge misid.   &    X+$\gamma$    &    $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg      &        Data        &      Data/bkg      \\ \hline
 [110.0-120.0]   &   0.13 +- 0.02   &   0.66 +- 0.03   &   0.66 +- 0.08   &   0.26 +- 0.15   &   0.68 +- 0.21   &   0.37 +- 0.31   &    1.81 +- 0.12   &    0.39 +- 0.25   &    4.97 +- 0.49    &    6.00 +- 2.45    &     1.21 +- 0.51   \\ \hline
 [120.0-130.0]   &   0.12 +- 0.02   &   0.46 +- 0.03   &   0.45 +- 0.06   &   0.09 +- 0.05   &   0.50 +- 0.15   &   0.28 +- 0.33   &    1.37 +- 0.11   &    0.39 +- 0.25   &    3.66 +- 0.46    &    4.00 +- 2.00    &     1.09 +- 0.56   \\ \hline
 [130.0-140.0]   &   0.08 +- 0.01   &   0.35 +- 0.02   &   0.41 +- 0.06   &   0.07 +- 0.04   &   0.33 +- 0.10   &   0.62 +- 0.39   &    0.99 +- 0.09   &    0.72 +- 0.40   &    3.58 +- 0.58    &    1.00 +- 1.00    &     0.28 +- 0.28   \\ \hline
 [140.0-150.0]   &   0.03 +- 0.01   &   0.26 +- 0.02   &   0.15 +- 0.04   &   0.09 +- 0.05   &   0.25 +- 0.08   &   0.24 +- 0.27   &    0.85 +- 0.08   &    0.69 +- 0.38   &    2.55 +- 0.48    &    1.00 +- 1.00    &     0.39 +- 0.40   \\ \hline
 [150.0-160.0]   &   0.06 +- 0.01   &   0.22 +- 0.02   &   0.16 +- 0.04   &   0.09 +- 0.06   &   0.17 +- 0.05   &   0.00 +- 0.12   &    0.67 +- 0.07   &    0.07 +- 0.08   &    1.40 +- 0.19    &    2.00 +- 1.41    &     1.43 +- 1.03   \\ \hline
 [160.0-170.0]   &   0.04 +- 0.01   &   0.15 +- 0.02   &   0.15 +- 0.04   &   0.03 +- 0.02   &   0.12 +- 0.04   &   0.19 +- 0.15   &    0.55 +- 0.06   &    0.13 +- 0.09   &    1.35 +- 0.20    &    1.00 +- 1.00    &     0.74 +- 0.75   \\ \hline
 [170.0-180.0]   &   0.03 +- 0.01   &   0.10 +- 0.01   &   0.10 +- 0.04   &   0.02 +- 0.01   &   0.09 +- 0.03   &   0.06 +- 0.04   &    0.47 +- 0.06   &    0.04 +- 0.05   &    0.92 +- 0.10    &    1.00 +- 1.00    &     1.09 +- 1.10   \\ \hline
 [180.0-190.0]   &   0.04 +- 0.01   &   0.08 +- 0.01   &   0.14 +- 0.04   &   0.02 +- 0.01   &   0.06 +- 0.02   &   0.01 +- 0.01   &    0.42 +- 0.05   &    0.17 +- 0.13   &    0.93 +- 0.15    &    0.00 +- 0.00    &     0.00 +- 0.00   \\ \hline
 [190.0-200.0]   &   0.02 +- 0.01   &   0.07 +- 0.01   &   0.08 +- 0.02   &   0.04 +- 0.04   &   0.05 +- 0.02   &   0.00 +- 0.15   &    0.25 +- 0.05   &    0.16 +- 0.18   &    0.56 +- 0.24    &    3.00 +- 1.73    &     5.33 +- 3.83   \\ \hline
 [200.0-210.0]   &   0.01 +- 0.00   &   0.05 +- 0.01   &   0.07 +- 0.02   &   0.02 +- 0.01   &   0.04 +- 0.01   &   0.04 +- 0.03   &    0.22 +- 0.04   &    0.00 +- 0.00   &    0.45 +- 0.06    &    0.00 +- 0.00    &     0.00 +- 0.00   \\ \hline
 [210.0-220.0]   &   0.02 +- 0.01   &   0.04 +- 0.01   &   0.04 +- 0.01   &   0.10 +- 0.10   &   0.04 +- 0.01   &   0.03 +- 0.02   &    0.07 +- 0.03   &    0.04 +- 0.04   &    0.37 +- 0.11    &    1.00 +- 1.00    &     2.72 +- 2.85   \\ \hline
 [220.0-230.0]   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.05 +- 0.01   &   0.01 +- 0.01   &   0.02 +- 0.01   &   0.01 +- 0.01   &    0.10 +- 0.03   &    0.00 +- 0.00   &    0.19 +- 0.04    &    0.00 +- 0.00    &     0.00 +- 0.00   \\ \hline
 [230.0-240.0]   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.05 +- 0.02   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.02 +- 0.01   &    0.06 +- 0.03   &    0.00 +- 0.00   &    0.17 +- 0.04    &    0.00 +- 0.00    &     0.00 +- 0.00   \\ \hline
 [240.0-250.0]   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.03 +- 0.03   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.11 +- 0.03   &    0.00 +- 0.00   &    0.18 +- 0.04    &    0.00 +- 0.00    &     0.00 +- 0.00   \\ \hline
 [250.0-260.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.02 +- 0.01   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.07 +- 0.03   &    0.00 +- 0.00   &    0.12 +- 0.03    &    0.00 +- 0.00    &     0.00 +- 0.00   \\ \hline
 [260.0-270.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.04 +- 0.02   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.02   &    0.00 +- 0.00   &    0.08 +- 0.03    &    1.00 +- 1.00    &    11.91 +-12.71   \\ \hline
 [270.0-280.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.02 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.07 +- 0.02   &    0.00 +- 0.00   &    0.10 +- 0.02    &    0.00 +- 0.00    &     0.00 +- 0.00   \\ \hline
 [280.0-290.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.03 +- 0.02   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.04 +- 0.05   &    0.10 +- 0.05    &    0.00 +- 0.00    &     0.00 +- 0.00   \\ \hline
 [290.0-300.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.05   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.04 +- 0.02   &    0.00 +- 0.00   &    0.00 +- 0.05    &    1.00 +- 1.00    &   0.00 +-14119.30  \\ \hline
 [300.0-310.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &    0.03 +- 0.02    &    0.00 +- 0.00    &     0.00 +- 0.00   \\ \hline
 [310.0-320.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00   &    0.03 +- 0.01    &    0.00 +- 0.00    &     0.00 +- 0.00   \\ \hline
