\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &    X+$\gamma$    &  Charge misid.   &   $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [190.0-200.0]   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.06 +- 0.05   &   0.05 +- 0.02   &   0.12 +- 0.03   &    0.05 +- 0.06   &    0.36 +- 0.08   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [200.0-210.0]   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.00 +- 0.00   &   0.03 +- 0.01   &   0.19 +- 0.14   &   0.02 +- 0.01   &   0.10 +- 0.02   &    0.00 +- 0.00   &    0.38 +- 0.15   &    1.00 +- 1.00   &   2.65 +- 2.84  \\ \hline
 [210.0-220.0]   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.01 +- 0.01   &   0.03 +- 0.00   &   0.00 +- 0.08   &   0.02 +- 0.01   &   0.09 +- 0.02   &    0.00 +- 0.00   &    0.13 +- 0.08   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [220.0-230.0]   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.07   &   0.01 +- 0.00   &   0.04 +- 0.02   &    0.04 +- 0.04   &    0.06 +- 0.08   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [230.0-240.0]   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.08   &   0.01 +- 0.01   &   0.03 +- 0.01   &    0.00 +- 0.00   &    0.08 +- 0.08   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [240.0-250.0]   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.02 +- 0.01   &   0.05 +- 0.02   &    0.00 +- 0.00   &    0.09 +- 0.02   &    1.00 +- 1.00   &  10.91 +-11.18  \\ \hline
 [250.0-260.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.03 +- 0.01   &    0.00 +- 0.00   &    0.05 +- 0.02   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [260.0-270.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.03 +- 0.01   &    0.00 +- 0.00   &    0.06 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [270.0-280.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [280.0-290.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.04 +- 0.02   &    1.00 +- 1.00   &  22.23 +-23.91  \\ \hline
