\hline
 bin                                   &   $t\bar{t}$VV   &   $t\bar{t}H$    &   $t\bar{t}Z$    &       Rare       &    X+$\gamma$    &   $t\bar{t}W$    &  Charge misid.   &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
\hline
 [-0.10000000149--0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0900000013411--0.0800000011921]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0800000011921--0.0700000010431]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0700000010431--0.0600000008941]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.06   &    0.00 +- 0.06   &    0.00 +- 0.00   &  -0.00 +- 0.00  \\ \hline
 [-0.0600000008941--0.0500000007451]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.03 +- 0.01   &    0.17 +- 0.18   &    0.21 +- 0.18   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.0500000007451--0.040000000596]    &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.06 +- 0.06   &   0.01 +- 0.01   &   0.11 +- 0.04   &    0.17 +- 0.19   &    0.36 +- 0.20   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.040000000596--0.030000000447]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.02 +- 0.10   &   0.03 +- 0.01   &   0.29 +- 0.09   &    0.65 +- 0.55   &    1.01 +- 0.57   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [-0.030000000447--0.020000000298]     &   0.00 +- 0.00   &   0.03 +- 0.01   &   0.01 +- 0.01   &   0.06 +- 0.04   &   0.20 +- 0.19   &   0.11 +- 0.03   &   0.79 +- 0.24   &    2.39 +- 1.46   &    3.60 +- 1.49   &    5.00 +- 2.24   &   1.39 +- 0.85  \\ \hline
 [-0.020000000298--0.010000000149]     &   0.05 +- 0.01   &   0.16 +- 0.02   &   0.22 +- 0.04   &   0.31 +- 0.16   &   0.80 +- 0.52   &   0.80 +- 0.07   &   4.13 +- 1.24   &    4.04 +- 1.89   &   10.50 +- 2.33   &   16.00 +- 4.00   &   1.52 +- 0.51  \\ \hline
 [-0.010000000149-0.0]                 &   0.84 +- 0.05   &   4.64 +- 0.09   &   5.70 +- 0.19   &   6.96 +- 3.49   &  13.10 +- 6.74   &  13.10 +- 0.32   &  27.92 +- 8.38   &   71.93 +-29.33   &  144.20 +-31.44   &  134.00 +-11.58   &   0.93 +- 0.22  \\ \hline
 [0.0-0.010000000149]                  &   0.82 +- 0.05   &   4.80 +- 0.09   &   5.77 +- 0.19   &   6.79 +- 3.41   &   5.64 +- 9.09   &  13.29 +- 0.32   &  27.71 +- 8.32   &   65.85 +-26.89   &  130.66 +-29.78   &  146.00 +-12.08   &   1.12 +- 0.27  \\ \hline
 [0.010000000149-0.020000000298]       &   0.02 +- 0.01   &   0.20 +- 0.02   &   0.35 +- 0.04   &   0.44 +- 0.23   &   1.46 +- 0.80   &   0.66 +- 0.07   &   4.29 +- 1.29   &    9.11 +- 4.26   &   16.55 +- 4.53   &   18.00 +- 4.24   &   1.09 +- 0.39  \\ \hline
 [0.020000000298-0.030000000447]       &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.05 +- 0.03   &   0.10 +- 0.15   &   0.08 +- 0.03   &   0.81 +- 0.25   &    1.23 +- 0.77   &    2.32 +- 0.83   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.030000000447-0.040000000596]       &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.01   &   0.02 +- 0.02   &   0.11 +- 0.09   &   0.02 +- 0.01   &   0.28 +- 0.09   &    0.84 +- 0.62   &    1.28 +- 0.64   &    1.00 +- 1.00   &   0.78 +- 0.87  \\ \hline
 [0.040000000596-0.0500000007451]      &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.13 +- 0.04   &    0.17 +- 0.18   &    0.31 +- 0.19   &    2.00 +- 1.41   &   6.54 +- 6.13  \\ \hline
 [0.0500000007451-0.0600000008941]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.01 +- 0.01   &   0.05 +- 0.02   &    0.00 +- 0.00   &    0.07 +- 0.02   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0600000008941-0.0700000010431]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0700000010431-0.0800000011921]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0800000011921-0.0900000013411]     &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
 [0.0900000013411-0.10000000149]       &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &   0.00 +- 0.00  \\ \hline
\hline
 total                                 &   1.74 +- 0.07   &   9.85 +- 0.13   &  12.10 +- 0.27   &  14.64 +- 4.89   &  21.50 +-11.36   &  28.13 +- 0.46   &  66.62 +-11.95   &  156.51 +-40.11   &  311.09 +-43.65   &  322.00 +-17.94   &   1.04 +- 0.16  \\ \hline

