\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &    X+$\gamma$    &  Charge misid.   &   $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &       Data        &     Data/bkg    \\ \hline
 [90.0-100.0]    &   0.39 +- 0.03   &   1.27 +- 0.10   &   0.74 +- 0.39   &   1.60 +- 0.04   &   0.27 +- 0.28   &   0.60 +- 0.18   &   4.14 +- 0.15   &    4.77 +- 2.08   &   13.78 +- 2.15   &   23.00 +- 4.80   &   1.67 +- 0.43  \\ \hline
 [100.0-110.0]   &   0.29 +- 0.02   &   0.84 +- 0.08   &   0.67 +- 0.36   &   1.12 +- 0.03   &   0.10 +- 0.16   &   0.39 +- 0.12   &   2.94 +- 0.13   &    2.39 +- 1.10   &    8.72 +- 1.18   &   16.00 +- 4.00   &   1.83 +- 0.52  \\ \hline
 [110.0-120.0]   &   0.20 +- 0.02   &   0.55 +- 0.07   &   0.40 +- 0.23   &   0.77 +- 0.03   &   0.34 +- 0.23   &   0.28 +- 0.09   &   2.31 +- 0.12   &    1.33 +- 0.60   &    6.17 +- 0.70   &    8.00 +- 2.83   &   1.30 +- 0.48  \\ \hline
 [120.0-130.0]   &   0.15 +- 0.02   &   0.34 +- 0.06   &   0.25 +- 0.16   &   0.61 +- 0.03   &   0.37 +- 0.26   &   0.17 +- 0.05   &   1.70 +- 0.11   &    1.73 +- 0.91   &    5.33 +- 0.97   &    8.00 +- 2.83   &   1.50 +- 0.60  \\ \hline
 [130.0-140.0]   &   0.13 +- 0.01   &   0.27 +- 0.05   &   0.15 +- 0.09   &   0.41 +- 0.02   &   0.10 +- 0.06   &   0.12 +- 0.04   &   1.16 +- 0.09   &    0.56 +- 0.33   &    2.90 +- 0.36   &    5.00 +- 2.24   &   1.73 +- 0.80  \\ \hline
 [140.0-150.0]   &   0.09 +- 0.01   &   0.27 +- 0.05   &   0.11 +- 0.07   &   0.33 +- 0.02   &   0.22 +- 0.16   &   0.08 +- 0.03   &   0.91 +- 0.08   &    1.48 +- 0.85   &    3.49 +- 0.87   &    4.00 +- 2.00   &   1.15 +- 0.64  \\ \hline
 [150.0-160.0]   &   0.10 +- 0.01   &   0.21 +- 0.04   &   0.05 +- 0.05   &   0.22 +- 0.02   &   0.05 +- 0.03   &   0.06 +- 0.02   &   0.70 +- 0.07   &    0.25 +- 0.16   &    1.64 +- 0.19   &    1.00 +- 1.00   &   0.61 +- 0.62  \\ \hline
 [160.0-170.0]   &   0.05 +- 0.01   &   0.12 +- 0.03   &   0.05 +- 0.03   &   0.17 +- 0.01   &   0.08 +- 0.06   &   0.04 +- 0.01   &   0.54 +- 0.06   &    0.08 +- 0.07   &    1.13 +- 0.12   &    3.00 +- 1.73   &   2.65 +- 1.56  \\ \hline
 [170.0-180.0]   &   0.04 +- 0.01   &   0.12 +- 0.03   &   0.10 +- 0.06   &   0.12 +- 0.01   &   0.03 +- 0.02   &   0.03 +- 0.01   &   0.49 +- 0.06   &    0.09 +- 0.07   &    1.01 +- 0.12   &    1.00 +- 1.00   &   0.99 +- 0.99  \\ \hline
 [180.0-190.0]   &   0.02 +- 0.01   &   0.09 +- 0.03   &   0.03 +- 0.01   &   0.08 +- 0.01   &   0.04 +- 0.03   &   0.02 +- 0.01   &   0.35 +- 0.05   &    0.36 +- 0.42   &    1.00 +- 0.43   &    1.00 +- 1.00   &   1.00 +- 1.09  \\ \hline
