\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}Z$    &   $t\bar{t}H$    &       Rare       &    X+$\gamma$    &   Charge misid.   &    $t\bar{t}W$    &   Nonprompt lep.   &      Total bkg      &        Data        &     Data/bkg    \\ \hline
 [190.0-200.0]   &   0.03 +- 0.01   &   0.07 +- 0.02   &   0.07 +- 0.01   &   0.01 +- 0.01   &   0.18 +- 0.15   &    0.09 +- 0.03   &    0.24 +- 0.05   &    0.00 +- 0.01    &     0.69 +- 0.17    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [200.0-210.0]   &   0.02 +- 0.01   &   0.04 +- 0.02   &   0.04 +- 0.01   &   0.01 +- 0.01   &   0.03 +- 0.09   &    0.04 +- 0.02   &    0.19 +- 0.04   &    0.00 +- 0.01    &     0.36 +- 0.10    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [210.0-220.0]   &   0.02 +- 0.01   &   0.05 +- 0.02   &   0.05 +- 0.01   &   0.01 +- 0.01   &   0.09 +- 0.07   &    0.03 +- 0.01   &    0.15 +- 0.04   &    0.07 +- 0.08    &     0.48 +- 0.12    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [220.0-230.0]   &   0.01 +- 0.01   &   0.06 +- 0.02   &   0.03 +- 0.01   &   0.02 +- 0.01   &   0.00 +- 0.10   &    0.01 +- 0.01   &    0.12 +- 0.03   &    0.00 +- 0.01    &     0.17 +- 0.11    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [230.0-240.0]   &   0.02 +- 0.01   &   0.03 +- 0.01   &   0.04 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.09   &    0.01 +- 0.01   &    0.14 +- 0.03   &    0.00 +- 0.01    &     0.24 +- 0.10    &    1.00 +- 1.00    &   4.24 +- 4.61  \\ \hline
 [240.0-250.0]   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.02 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.02 +- 0.01   &    0.08 +- 0.02   &    0.00 +- 0.00    &     0.15 +- 0.03    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [250.0-260.0]   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.02 +- 0.01   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.02 +- 0.01   &    0.09 +- 0.02   &    0.00 +- 0.00    &     0.15 +- 0.03    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [260.0-270.0]   &   0.01 +- 0.00   &   0.02 +- 0.01   &   0.01 +- 0.01   &   0.02 +- 0.02   &   0.00 +- 0.07   &    0.01 +- 0.00   &    0.03 +- 0.02   &    0.00 +- 0.01    &     0.02 +- 0.08    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [270.0-280.0]   &   0.01 +- 0.00   &   0.00 +- 0.01   &   0.01 +- 0.00   &   0.02 +- 0.02   &   0.02 +- 0.01   &    0.00 +- 0.00   &    0.03 +- 0.02   &    0.00 +- 0.00    &     0.08 +- 0.03    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [280.0-290.0]   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &    0.00 +- 0.00   &    0.05 +- 0.02   &    0.06 +- 0.08    &     0.16 +- 0.08    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
