\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}H$    &   $t\bar{t}Z$    &       Rare       &  Charge misid.   &    X+$\gamma$    &    $t\bar{t}W$    &  Nonprompt lep.   &     Total bkg     &        Data        &     Data/bkg    \\ \hline
 [190.0-200.0]   &   0.04 +- 0.01   &   0.09 +- 0.01   &   0.13 +- 0.03   &   0.13 +- 0.09   &   0.02 +- 0.01   &   0.02 +- 0.19   &    0.34 +- 0.07   &    0.04 +- 0.04   &    0.80 +- 0.23   &    3.00 +- 1.73    &   3.75 +- 2.41  \\ \hline
 [200.0-210.0]   &   0.02 +- 0.01   &   0.08 +- 0.01   &   0.10 +- 0.04   &   0.03 +- 0.03   &   0.03 +- 0.01   &   0.04 +- 0.03   &    0.32 +- 0.06   &    0.12 +- 0.13   &    0.74 +- 0.16   &    2.00 +- 1.41    &   2.71 +- 2.00  \\ \hline
 [210.0-220.0]   &   0.02 +- 0.01   &   0.05 +- 0.01   &   0.07 +- 0.04   &   0.22 +- 0.15   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.15 +- 0.05   &    0.13 +- 0.11   &    0.64 +- 0.20   &    1.00 +- 1.00    &   1.56 +- 1.63  \\ \hline
 [220.0-230.0]   &   0.01 +- 0.01   &   0.04 +- 0.01   &   0.06 +- 0.02   &   0.08 +- 0.07   &   0.01 +- 0.01   &   0.02 +- 0.02   &    0.08 +- 0.04   &    0.01 +- 0.01   &    0.31 +- 0.09   &    2.00 +- 1.41    &   6.43 +- 4.88  \\ \hline
 [230.0-240.0]   &   0.01 +- 0.00   &   0.05 +- 0.01   &   0.05 +- 0.04   &   0.08 +- 0.07   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.24 +- 0.04   &    0.04 +- 0.05   &    0.49 +- 0.10   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [240.0-250.0]   &   0.01 +- 0.01   &   0.02 +- 0.01   &   0.04 +- 0.02   &   0.10 +- 0.09   &   0.01 +- 0.01   &   0.00 +- 0.00   &    0.08 +- 0.03   &    0.00 +- 0.00   &    0.27 +- 0.10   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [250.0-260.0]   &   0.01 +- 0.00   &   0.01 +- 0.00   &   0.02 +- 0.01   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.02 +- 0.01   &    0.09 +- 0.03   &    0.00 +- 0.00   &    0.15 +- 0.04   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [260.0-270.0]   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.04 +- 0.02   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.10 +- 0.03   &    0.00 +- 0.00   &    0.17 +- 0.04   &    1.00 +- 1.00    &   5.75 +- 5.87  \\ \hline
 [270.0-280.0]   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.00 +- 0.01   &   0.03 +- 0.04   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.08 +- 0.03   &    0.00 +- 0.00   &    0.13 +- 0.05   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [280.0-290.0]   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.07 +- 0.02   &    0.00 +- 0.00   &    0.10 +- 0.03   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [290.0-300.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.09 +- 0.03   &    0.00 +- 0.00   &    0.11 +- 0.03   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [300.0-310.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.03 +- 0.02   &    0.00 +- 0.00   &    0.05 +- 0.02   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [310.0-320.0]   &   0.01 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.01   &   0.04 +- 0.03   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.02   &    0.05 +- 0.05   &    0.10 +- 0.06   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [320.0-330.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.02   &   0.00 +- 0.00   &   0.11 +- 0.13   &    0.00 +- 0.01   &    0.00 +- 0.00   &    0.14 +- 0.13   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [330.0-340.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.08 +- 0.09   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.03 +- 0.01   &    0.00 +- 0.00   &    0.11 +- 0.09   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [340.0-350.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.04 +- 0.04   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00   &    0.06 +- 0.04   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [350.0-360.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00   &    0.03 +- 0.01   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [360.0-370.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.01   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [370.0-380.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.02   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00   &    0.04 +- 0.02   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [380.0-390.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.06 +- 0.05   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &    0.06 +- 0.05   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [390.0-400.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.01   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [400.0-410.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [410.0-420.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [420.0-430.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.03   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00   &    0.04 +- 0.03   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [430.0-440.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [440.0-450.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [450.0-460.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.01   &    0.00 +- 0.00    &  -0.00 +- 0.00  \\ \hline
 [460.0-470.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.00   &    0.00 +- 0.00   &    0.01 +- 0.00   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [470.0-480.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [480.0-490.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [490.0-500.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.02   &    0.06 +- 0.07   &    0.08 +- 0.07   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
\hline
 total           &   8.52 +- 0.15   &  51.30 +- 0.30   &  51.60 +- 0.70   &  67.37 +-20.50   &  75.57 +-15.05   &  77.35 +-25.29   &  159.08 +- 1.13   &  291.94 +-66.39   &  782.72 +-75.47   &  1032.00 +-32.12   &   1.32 +- 0.13  \\ \hline

