\hline
 bin             &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &  Charge misid.   &    $t\bar{t}W$    &   Nonprompt lep.   &      Total bkg      &        Data        &     Data/bkg    \\ \hline
\hline
 [190.0-200.0]   &   0.02 +- 0.00   &   0.13 +- 0.09   &   0.05 +- 0.02   &   0.02 +- 0.01   &   0.07 +- 0.01   &   0.09 +- 0.03   &    0.30 +- 0.04   &    0.07 +- 0.07    &     0.75 +- 0.13    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [200.0-210.0]   &   0.02 +- 0.01   &   0.20 +- 0.15   &   0.05 +- 0.01   &   0.01 +- 0.00   &   0.05 +- 0.01   &   0.04 +- 0.02   &    0.21 +- 0.03   &    0.00 +- 0.00    &     0.58 +- 0.15    &    1.00 +- 1.00    &   1.72 +- 1.78  \\ \hline
 [210.0-220.0]   &   0.02 +- 0.00   &   0.00 +- 0.10   &   0.06 +- 0.01   &   0.01 +- 0.01   &   0.04 +- 0.01   &   0.04 +- 0.02   &    0.15 +- 0.03   &    0.00 +- 0.00    &     0.30 +- 0.10    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [220.0-230.0]   &   0.02 +- 0.00   &   0.00 +- 0.07   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.03 +- 0.01   &   0.02 +- 0.01   &    0.06 +- 0.03   &    0.03 +- 0.04    &     0.12 +- 0.08    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [230.0-240.0]   &   0.01 +- 0.00   &   0.00 +- 0.08   &   0.04 +- 0.02   &   0.00 +- 0.00   &   0.02 +- 0.00   &   0.02 +- 0.01   &    0.11 +- 0.02   &    0.00 +- 0.00    &     0.19 +- 0.09    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [240.0-250.0]   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.01   &   0.01 +- 0.01   &   0.02 +- 0.00   &   0.02 +- 0.01   &    0.09 +- 0.02   &    0.00 +- 0.00    &     0.15 +- 0.03    &    1.00 +- 1.00    &   6.65 +- 6.76  \\ \hline
 [250.0-260.0]   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.00   &    0.09 +- 0.02   &    0.00 +- 0.00    &     0.14 +- 0.02    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [260.0-270.0]   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.00 +- 0.00   &   0.02 +- 0.00   &   0.01 +- 0.00   &    0.08 +- 0.02   &    0.00 +- 0.00    &     0.12 +- 0.02    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [270.0-280.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.01   &    0.04 +- 0.01   &    0.00 +- 0.00    &     0.07 +- 0.02    &    1.00 +- 1.00    &  13.56 +-13.91  \\ \hline
 [280.0-290.0]   &   0.00 +- 0.00   &   0.08 +- 0.08   &   0.02 +- 0.01   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.01 +- 0.00   &    0.03 +- 0.01   &    0.03 +- 0.04    &     0.19 +- 0.09    &    1.00 +- 1.00    &   5.17 +- 5.68  \\ \hline
 [290.0-300.0]   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.03 +- 0.01   &    0.04 +- 0.04    &     0.09 +- 0.05    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [300.0-310.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.02 +- 0.01   &    0.00 +- 0.00    &     0.02 +- 0.02    &    1.00 +- 1.00    &  42.03 +-52.19  \\ \hline
 [310.0-320.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &    0.03 +- 0.01   &    0.00 +- 0.00    &     0.04 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [320.0-330.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00    &     0.02 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [330.0-340.0]   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00    &     0.02 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
