\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}H$    &   $t\bar{t}Z$    &       Rare       &    X+$\gamma$    &    $t\bar{t}W$    &   Charge misid.   &  Nonprompt lep.   &     Total bkg     &        Data        &     Data/bkg    \\ \hline
 [190.0-200.0]   &   0.03 +- 0.01   &   0.07 +- 0.01   &   0.03 +- 0.04   &   0.05 +- 0.03   &   0.02 +- 0.02   &    0.28 +- 0.05   &    0.15 +- 0.05   &    0.13 +- 0.15   &    0.76 +- 0.17   &    1.00 +- 1.00    &   1.31 +- 1.34  \\ \hline
 [200.0-210.0]   &   0.03 +- 0.01   &   0.06 +- 0.01   &   0.00 +- 0.02   &   0.12 +- 0.10   &   0.04 +- 0.02   &    0.27 +- 0.06   &    0.08 +- 0.03   &    0.00 +- 0.01   &    0.58 +- 0.12   &    1.00 +- 1.00    &   1.74 +- 1.78  \\ \hline
 [210.0-220.0]   &   0.02 +- 0.01   &   0.04 +- 0.01   &   0.03 +- 0.02   &   0.08 +- 0.05   &   0.04 +- 0.03   &    0.25 +- 0.04   &    0.09 +- 0.03   &    0.00 +- 0.00   &    0.53 +- 0.08   &    1.00 +- 1.00    &   1.87 +- 1.89  \\ \hline
 [220.0-230.0]   &   0.02 +- 0.01   &   0.03 +- 0.01   &   0.03 +- 0.02   &   0.01 +- 0.01   &   0.00 +- 0.01   &    0.14 +- 0.04   &    0.05 +- 0.02   &    0.00 +- 0.01   &    0.27 +- 0.05   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [230.0-240.0]   &   0.01 +- 0.01   &   0.02 +- 0.00   &   0.07 +- 0.02   &   0.08 +- 0.05   &   0.02 +- 0.01   &    0.09 +- 0.03   &    0.05 +- 0.02   &    0.00 +- 0.01   &    0.33 +- 0.07   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [240.0-250.0]   &   0.00 +- 0.00   &   0.03 +- 0.01   &   0.02 +- 0.03   &   0.05 +- 0.03   &   0.01 +- 0.01   &    0.08 +- 0.03   &    0.04 +- 0.02   &    0.00 +- 0.00   &    0.22 +- 0.06   &    1.00 +- 1.00    &   4.46 +- 4.61  \\ \hline
 [250.0-260.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.05 +- 0.02   &   0.02 +- 0.01   &   0.00 +- 0.12   &    0.07 +- 0.03   &    0.03 +- 0.01   &    0.00 +- 0.00   &    0.07 +- 0.12   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [260.0-270.0]   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.03 +- 0.02   &   0.01 +- 0.01   &   0.00 +- 0.00   &    0.09 +- 0.03   &    0.03 +- 0.02   &    0.00 +- 0.00   &    0.18 +- 0.04   &    1.00 +- 1.00    &   5.49 +- 5.60  \\ \hline
 [270.0-280.0]   &   0.01 +- 0.00   &   0.01 +- 0.00   &   0.02 +- 0.01   &   0.05 +- 0.04   &   0.00 +- 0.00   &    0.07 +- 0.02   &    0.02 +- 0.01   &    0.00 +- 0.00   &    0.17 +- 0.05   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [280.0-290.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.01 +- 0.01   &   0.01 +- 0.01   &    0.08 +- 0.02   &    0.01 +- 0.00   &    0.00 +- 0.00   &    0.14 +- 0.03   &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
