\hline
 bin             &   $t\bar{t}$VV   &    X+$\gamma$    &   $t\bar{t}Z$    &       Rare       &   $t\bar{t}H$    &  Charge misid.   &    $t\bar{t}W$    &   Nonprompt lep.   &      Total bkg      &        Data        &     Data/bkg    \\ \hline
 [190.0-200.0]   &   0.05 +- 0.01   &   0.02 +- 0.02   &   0.01 +- 0.04   &   0.13 +- 0.08   &   0.12 +- 0.01   &   0.08 +- 0.03   &    0.51 +- 0.06   &    0.02 +- 0.04    &     0.94 +- 0.12    &    2.00 +- 1.41    &   2.13 +- 1.53  \\ \hline
 [200.0-210.0]   &   0.03 +- 0.01   &   0.03 +- 0.02   &   0.07 +- 0.02   &   0.09 +- 0.09   &   0.09 +- 0.01   &   0.02 +- 0.01   &    0.39 +- 0.06   &    0.02 +- 0.03    &     0.75 +- 0.12    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [210.0-220.0]   &   0.02 +- 0.01   &   0.00 +- 0.06   &   0.03 +- 0.03   &   0.02 +- 0.04   &   0.06 +- 0.01   &   0.01 +- 0.01   &    0.37 +- 0.05   &    0.03 +- 0.03    &     0.50 +- 0.10    &    2.00 +- 1.41    &   4.02 +- 2.95  \\ \hline
 [220.0-230.0]   &   0.03 +- 0.01   &   0.01 +- 0.01   &   0.02 +- 0.02   &   0.03 +- 0.02   &   0.05 +- 0.01   &   0.02 +- 0.01   &    0.26 +- 0.04   &    0.23 +- 0.26    &     0.65 +- 0.26    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [230.0-240.0]   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.06 +- 0.01   &   0.04 +- 0.03   &   0.03 +- 0.01   &   0.02 +- 0.01   &    0.15 +- 0.04   &    0.00 +- 0.00    &     0.30 +- 0.05    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [240.0-250.0]   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.01   &   0.06 +- 0.05   &   0.03 +- 0.01   &   0.02 +- 0.01   &    0.15 +- 0.03   &    0.00 +- 0.00    &     0.27 +- 0.06    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [250.0-260.0]   &   0.01 +- 0.00   &   0.00 +- 0.12   &   0.02 +- 0.02   &   0.03 +- 0.02   &   0.03 +- 0.01   &   0.01 +- 0.01   &    0.08 +- 0.03   &    0.00 +- 0.00    &     0.08 +- 0.12    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [260.0-270.0]   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.03 +- 0.02   &   0.00 +- 0.02   &   0.02 +- 0.00   &   0.01 +- 0.01   &    0.13 +- 0.03   &    0.00 +- 0.00    &     0.19 +- 0.04    &    1.00 +- 1.00    &   5.23 +- 5.34  \\ \hline
 [270.0-280.0]   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.05 +- 0.04   &   0.01 +- 0.00   &   0.01 +- 0.01   &    0.07 +- 0.02   &    0.03 +- 0.04    &     0.21 +- 0.06    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [280.0-290.0]   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.02   &   0.00 +- 0.00   &   0.02 +- 0.00   &   0.01 +- 0.00   &    0.11 +- 0.02   &    0.04 +- 0.04    &     0.16 +- 0.05    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [290.0-300.0]   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.01   &   0.03 +- 0.03   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.06 +- 0.02   &    0.04 +- 0.05    &     0.15 +- 0.06    &    1.00 +- 1.00    &   6.67 +- 7.18  \\ \hline
 [300.0-310.0]   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.02 +- 0.01   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.04 +- 0.02   &    0.00 +- 0.00    &     0.10 +- 0.02    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [310.0-320.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.02   &    0.00 +- 0.00    &     0.06 +- 0.02    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [320.0-330.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.04 +- 0.01   &    0.00 +- 0.00    &     0.08 +- 0.02    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [330.0-340.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.04 +- 0.01   &    0.34 +- 0.36    &     0.39 +- 0.36    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [340.0-350.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.02   &    0.00 +- 0.00    &     0.02 +- 0.02    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [350.0-360.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00    &     0.05 +- 0.02    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [360.0-370.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00    &     0.02 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [370.0-380.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00    &     0.02 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [380.0-390.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00    &     0.01 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [390.0-400.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00    &     0.02 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [400.0-410.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.00 +- 0.00    &     0.03 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [410.0-420.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00    &     0.02 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
