\hline
 bin             &   $t\bar{t}$VV   &   $t\bar{t}H$    &   $t\bar{t}Z$    &       Rare       &    X+$\gamma$    &    $t\bar{t}W$    &   Charge misid.   &   Nonprompt lep.   &     Total bkg      &        Data        &     Data/bkg    \\ \hline
\hline
 [190.0-200.0]   &   0.02 +- 0.01   &   0.04 +- 0.01   &   0.04 +- 0.02   &   0.02 +- 0.01   &   0.02 +- 0.08   &    0.14 +- 0.03   &    0.11 +- 0.04   &    0.00 +- 0.00    &    0.37 +- 0.10    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [200.0-210.0]   &   0.02 +- 0.01   &   0.03 +- 0.01   &   0.04 +- 0.02   &   0.03 +- 0.03   &   0.11 +- 0.09   &    0.18 +- 0.03   &    0.09 +- 0.03   &    0.00 +- 0.01    &    0.49 +- 0.11    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [210.0-220.0]   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.05 +- 0.02   &   0.01 +- 0.01   &   0.12 +- 0.10   &    0.06 +- 0.03   &    0.05 +- 0.02   &    0.00 +- 0.00    &    0.34 +- 0.11    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [220.0-230.0]   &   0.01 +- 0.00   &   0.02 +- 0.01   &   0.02 +- 0.01   &   0.01 +- 0.01   &   0.00 +- 0.06   &    0.05 +- 0.03   &    0.02 +- 0.01   &    0.00 +- 0.00    &    0.12 +- 0.07    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [230.0-240.0]   &   0.01 +- 0.00   &   0.02 +- 0.01   &   0.04 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.03   &    0.07 +- 0.02   &    0.04 +- 0.01   &    0.00 +- 0.01    &    0.17 +- 0.04    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [240.0-250.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.01 +- 0.01   &   0.01 +- 0.00   &   0.01 +- 0.01   &    0.07 +- 0.02   &    0.03 +- 0.01   &    0.00 +- 0.00    &    0.14 +- 0.03    &    1.00 +- 1.00    &   7.40 +- 7.55  \\ \hline
 [250.0-260.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.01   &   0.00 +- 0.00   &   0.04 +- 0.02   &    0.07 +- 0.02   &    0.02 +- 0.01   &    0.00 +- 0.00    &    0.13 +- 0.03    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [260.0-270.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.02 +- 0.01   &   0.01 +- 0.01   &    0.06 +- 0.02   &    0.01 +- 0.01   &    0.00 +- 0.00    &    0.11 +- 0.03    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [270.0-280.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.01 +- 0.01   &    0.01 +- 0.01   &    0.02 +- 0.01   &    0.00 +- 0.00    &    0.05 +- 0.02    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [280.0-290.0]   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.03 +- 0.01   &   0.01 +- 0.01   &   0.08 +- 0.08   &    0.02 +- 0.01   &    0.01 +- 0.01   &    0.00 +- 0.00    &    0.15 +- 0.08    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [290.0-300.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.01   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.03 +- 0.01   &    0.00 +- 0.00   &    0.04 +- 0.04    &    0.09 +- 0.04    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [300.0-310.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.02 +- 0.01   &    0.00 +- 0.00    &    0.05 +- 0.02    &    1.00 +- 1.00    &  18.21 +-18.96  \\ \hline
 [310.0-320.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.02 +- 0.01   &    0.01 +- 0.01   &    0.00 +- 0.00    &    0.04 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [320.0-330.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.01 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.01 +- 0.00   &    0.00 +- 0.00    &    0.03 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [330.0-340.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.01   &    0.01 +- 0.01   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.02 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [340.0-350.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.02 +- 0.02   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.03 +- 0.02    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [350.0-360.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00   &    0.00 +- 0.00    &    0.03 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
 [360.0-370.0]   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &   0.00 +- 0.00   &    0.01 +- 0.00   &    0.01 +- 0.01   &    0.00 +- 0.00    &    0.01 +- 0.01    &    0.00 +- 0.00    &   0.00 +- 0.00  \\ \hline
